antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'label=false', 'party=unknown'})",frozenset({'state=Unknown'}),0.0353373465718083,0.21507309827222265,0.024392150730982724,0.6902654867256638,3.2094459617259052,1.0,0.016792038119064608,2.534192568435396,0.7136378088238046,0.10792113455551712,0.6053969960864507,0.40183939548933134
"frozenset({'state=Unknown', 'subject=health-care'})",frozenset({'party=unknown'}),0.025955750136814948,0.18215933077945431,0.015010554295989367,0.5783132530120482,3.1747660168571277,1.0,0.010282472221188426,1.9394507298658652,0.7032700591272707,0.07773279352226721,0.48439009839184666,0.33035834324422153
frozenset({'subject=state-budget'}),frozenset({'subject=education'}),0.06872019388632632,0.07239465249003206,0.01571417402861387,0.2286689419795222,3.158644100280851,1.0,0.01073919947316565,1.2026033930107107,0.7338379459318586,0.12531172069825436,0.16847066471639852,0.2228657884843615
frozenset({'subject=education'}),frozenset({'subject=state-budget'}),0.07239465249003206,0.06872019388632632,0.01571417402861387,0.21706263498920084,3.158644100280851,1.0,0.01073919947316565,1.1894691040844991,0.7367448471926085,0.12531172069825436,0.1592887981990319,0.2228657884843615
frozenset({'party=unknown'}),frozenset({'state=Unknown'}),0.18215933077945431,0.21507309827222265,0.12196075365491361,0.6695278969957081,3.113024838412251,1.0,0.08278318200498172,2.375168416916521,0.8299526446214143,0.44305595001420045,0.5789772241506078,0.6182972091303514
frozenset({'state=Unknown'}),frozenset({'party=unknown'}),0.21507309827222265,0.18215933077945431,0.12196075365491361,0.5670665212649946,3.113024838412251,1.0,0.08278318200498172,1.8890677422550137,0.8647544437634078,0.44305595001420045,0.4706383590001477,0.6182972091303514
"frozenset({'state=Unknown', 'label=mostly-true'})",frozenset({'party=unknown'}),0.032991947463059966,0.18215933077945431,0.01860683292940349,0.5639810426540285,3.0960864878058705,1.0,0.01259704185842157,1.8756997957123387,0.7001095854300974,0.09466984884645982,0.46686564540557096,0.3330634827004048
"frozenset({'state=Unknown', 'label=false'})",frozenset({'party=unknown'}),0.043702603393010714,0.18215933077945431,0.024392150730982724,0.5581395348837209,3.064018365106298,1.0,0.016431313743591983,1.8509025671833401,0.7044160126444298,0.1210710128055879,0.45972304662055963,0.34602255714143126
"frozenset({'state=Unknown', 'label=true'})",frozenset({'party=unknown'}),0.029004768978187788,0.18215933077945431,0.016026893909780314,0.5525606469002695,3.0333919461379173,1.0,0.010743404603300949,1.8278246281977255,0.6903597659164997,0.08213141025641026,0.45290156146652777,0.32027173975914763
"frozenset({'label=mostly-true', 'state=Illinois'})",frozenset({'party=democrat'}),0.014463294503948088,0.3235087170666875,0.014150574622781643,0.9783783783783784,3.0242720729429284,1.0,0.009471572773251724,31.287721835665703,0.6791648807066354,0.04369869628198938,0.968038580589141,0.5110596580147088
"frozenset({'label=true', 'state=Illinois'})",frozenset({'party=democrat'}),0.010554295989367524,0.3235087170666875,0.010319756078492691,0.9777777777777779,3.0224155523333875,1.0,0.006905349323430318,30.442107731999172,0.676276433743248,0.03187635836754407,0.967150763383284,0.5048386230599861
"frozenset({'party=unknown', 'label=barely-true'})",frozenset({'state=Unknown'}),0.026893909780314283,0.21507309827222265,0.017277773434446093,0.6424418604651162,2.987086091315631,1.0,0.01149361693334027,2.1952427170272792,0.6836105449095113,0.07689631176061239,0.5444695056981376,0.3613881421554952
"frozenset({'party=unknown', 'label=half-true'})",frozenset({'state=Unknown'}),0.03338284731451802,0.21507309827222265,0.021421311859901492,0.6416861826697892,2.983572505463204,1.0,0.014241559458819553,2.190612987174908,0.6877917877898395,0.0943526170798898,0.5435067691762224,0.3706431640357306
frozenset({'state=Illinois'}),frozenset({'party=democrat'}),0.054335079352669846,0.3235087170666875,0.052224220154796344,0.9611510791366907,2.9710206508548604,1.0,0.03464634834169746,17.413386727357526,0.7015331935335678,0.1603841536614646,0.9425729172815683,0.5612908609796552
"frozenset({'label=half-true', 'state=Illinois'})",frozenset({'party=democrat'}),0.014072394652490033,0.3235087170666875,0.013525134860448753,0.9611111111111111,2.9708971054186137,1.0,0.008972592520365589,17.395490132570906,0.6728702302742399,0.04173703256936068,0.9425138359207469,0.5014593738252511
frozenset({'subject=pundits'}),frozenset({'state=Unknown'}),0.02056133218669377,0.21507309827222265,0.012977875068407474,0.6311787072243346,2.934717137079776,1.0,0.008555685650410871,2.12820386757119,0.6730913116065796,0.05828651685393259,0.5301202035962613,0.3457602005769074
"frozenset({'label=true', 'party=unknown'})",frozenset({'state=Unknown'}),0.025955750136814948,0.21507309827222265,0.016026893909780314,0.6174698795180723,2.8709768189442615,1.0,0.010444510309875856,2.051934892705686,0.6690522474692602,0.07123002084781098,0.5126551024816397,0.3459941182395887
"frozenset({'state=Unknown', 'label=half-true'})",frozenset({'party=unknown'}),0.04190446407630365,0.18215933077945431,0.021421311859901492,0.5111940298507462,2.8063016462750623,1.0,0.013788022727090335,1.673139689703101,0.6718109992346337,0.10570987654320986,0.40232127290133785,0.3143952981871757
"frozenset({'label=mostly-true', 'party=unknown'})",frozenset({'state=Unknown'}),0.03228832773043546,0.21507309827222265,0.01860683292940349,0.5762711864406781,2.6794201184161084,1.0,0.01166248224638981,1.852427488077555,0.6476980030984765,0.0813397129186603,0.4601678033628201,0.3313925906758098
"frozenset({'state=Unknown', 'label=barely-true'})",frozenset({'party=unknown'}),0.03565006645297475,0.18215933077945431,0.017277773434446093,0.4846491228070175,2.6605780814697684,1.0,0.010783781187129138,1.58695891559391,0.6472150944503646,0.08615984405458088,0.36986396423138906,0.2897494541073714
frozenset({'state=Rhode Island'}),frozenset({'subject=economy'}),0.035493706512391525,0.11195371745758737,0.010554295989367524,0.2973568281938326,2.656069266359855,1.0,0.006580643598956714,1.263865242239045,0.6464486534033426,0.07709880068532267,0.20877640544302425,0.19581528560529618
frozenset({'label=pants-fire'}),"frozenset({'state=Unknown', 'party=unknown'})",0.08185442889531702,0.12196075365491361,0.0242357907903995,0.29608404966571156,2.4276994097911,1.0,0.014252762952334097,1.2473637597331144,0.6405165025929507,0.1349586417065738,0.19830924043042622,0.24740099919183012
frozenset({'subject=state-budget'}),frozenset({'subject=taxes'}),0.06872019388632632,0.09522320381518255,0.01461965444453131,0.21274175199089876,2.234137725546458,1.0,0.008075897415874798,1.1492757281018129,0.593162245055541,0.09790575916230367,0.12988678386896968,0.1831360648296037
frozenset({'state=Ohio'}),frozenset({'subject=economy'}),0.04604800250175905,0.11195371745758737,0.011257915721992025,0.24448217317487267,2.1837789644411987,1.0,0.0061026706604238165,1.17541406835389,0.5682447321932651,0.07671816728822589,0.149235978262153,0.17252041619637487
frozenset({'state=Arizona'}),frozenset({'party=republican'}),0.017825033226487375,0.442889531701978,0.01704323352357126,0.956140350877193,2.158868707514594,1.0,0.00914871290532007,12.702118677194894,0.5465364653887526,0.03841409691629955,0.9212729761535469,0.4973111286601322
frozenset({'subject=message-machine-2012'}),frozenset({'state=Unknown'}),0.025252130404190446,0.21507309827222265,0.011101555781408803,0.43962848297213625,2.0440886680103945,1.0,0.0056705018574053695,1.4007259075031606,0.524016976417375,0.04843110504774898,0.28608445475065686,0.24562303828723134
frozenset({'party=non-party-role'}),frozenset({'state=Unknown'}),0.03291376749276835,0.21507309827222265,0.013759674771323586,0.4180522565320665,1.943768234569852,1.0,0.0066808088208423315,1.3487927576628338,0.5020600609980157,0.05874499332443257,0.2585962563049465,0.24101449613226372
frozenset({'label=pants-fire'}),frozenset({'party=unknown'}),0.08185442889531702,0.18215933077945431,0.028301149245563286,0.3457497612225406,1.8980623157929255,1.0,0.013390601256657909,1.2500425995239581,0.5153288572417841,0.1200663349917081,0.20002726276622854,0.2505572840447467
frozenset({'state=Massachusetts'}),frozenset({'party=republican'}),0.02001407239465249,0.442889531701978,0.016652333672113204,0.83203125,1.8786428453221535,1.0,0.007788310521796078,3.316750694983573,0.47725261287175247,0.03731604765241766,0.6985001008630367,0.43481527195498676
frozenset({'label=pants-fire'}),frozenset({'state=Unknown'}),0.08185442889531702,0.21507309827222265,0.031819247908685795,0.38872970391595035,1.8074306226059327,1.0,0.014214562278866617,1.2840913532952858,0.48655510848971345,0.12002359186080802,0.22123920744909573,0.26833795264863314
"frozenset({'party=republican', 'state=New York'})",frozenset({'label=false'}),0.03291376749276835,0.1959971855210695,0.01094519584082558,0.33254156769596205,1.6966650149178502,1.0,0.004494190047348115,1.2045736117282198,0.42458309273588174,0.050215208034433294,0.16983072660434173,0.19419260275504124
frozenset({'subject=women'}),frozenset({'party=democrat'}),0.020170432335235713,0.3235087170666875,0.011023375811117191,0.5465116279069767,1.6893258174379264,1.0,0.0044980651236646565,1.491750008519612,0.41644781181935014,0.03313748531139835,0.32964639229840975,0.2902930299998876
frozenset({'state=Ohio'}),frozenset({'label=true'}),0.04604800250175905,0.16050347900867798,0.012430615276366195,0.2699490662139219,1.681889189450694,1.0,0.00503975067343356,1.1499150020090434,0.42500095355024786,0.06403544099879177,0.13037050716541954,0.17369835190871447
"frozenset({'state=Texas', 'label=false'})",frozenset({'party=republican'}),0.017981393167070595,0.442889531701978,0.013056055038699086,0.7260869565217393,1.6394312905330215,1.0,0.005092284239586043,2.0338953604530974,0.3971741255964307,0.029155027932960896,0.5083326215084994,0.3777831075636057
"frozenset({'label=false', 'state=New York'})",frozenset({'party=republican'}),0.01508873426628098,0.442889531701978,0.01094519584082558,0.7253886010362695,1.6378544741138432,1.0,0.004262553387656809,2.028723026066382,0.3954114031705712,0.024484085344526056,0.5070790900722597,0.3750508759815063
"frozenset({'state=Texas', 'label=barely-true'})",frozenset({'party=republican'}),0.018372293018528652,0.442889531701978,0.012586975216949417,0.6851063829787234,1.5469012788492233,1.0,0.004450078965681743,1.7692021628383132,0.36016336254573295,0.028053667886391354,0.4347734696436782,0.356763253272239
"frozenset({'label=mostly-true', 'subject=economy'})",frozenset({'party=democrat'}),0.023844890938941442,0.3235087170666875,0.011726995543741693,0.4918032786885246,1.520216466337583,1.0,0.004012965467489665,1.3311602664171633,0.35055795824656955,0.03494060097833683,0.2487756544210006,0.2640263372659636
frozenset({'state=Rhode Island'}),frozenset({'party=democrat'}),0.035493706512391525,0.3235087170666875,0.017355953404737706,0.48898678414096913,1.5115103808475439,1.0,0.005873429946972392,1.3238234588436375,0.3508635489668156,0.050800915331807785,0.2446122681089953,0.2713179449946025
"frozenset({'party=republican', 'subject=health-care'})",frozenset({'label=barely-true'}),0.05089516065983895,0.16441247752325855,0.012586975216949417,0.24731182795698925,1.5042156877783401,1.0,0.004219175758921013,1.1101377084333852,0.3531767065396461,0.06209024296182027,0.09921085248857123,0.161934563526759
"frozenset({'party=democrat', 'subject=economy'})",frozenset({'label=mostly-true'}),0.04120084434367915,0.19185364709561412,0.011726995543741693,0.2846299810246679,1.4835786826758464,1.0,0.003822463292988144,1.1296899946435315,0.3399608610567514,0.05298481102084068,0.11480140149816456,0.17287733770059802
frozenset({'state=Texas'}),frozenset({'party=republican'}),0.09850676256743023,0.442889531701978,0.06340395590649675,0.6436507936507936,1.4532987293181465,1.0,0.01977634196352964,1.5633834967828677,0.34599285836571336,0.13264638534510956,0.3603616757770559,0.39340527325964214
"frozenset({'state=Texas', 'label=half-true'})",frozenset({'party=republican'}),0.019623172543194435,0.442889531701978,0.012430615276366195,0.6334661354581672,1.4303027958773904,1.0,0.0037397175782036985,1.5199426906826465,0.30686908810046826,0.027618551328817086,0.3420804572895617,0.33076660700534133
"frozenset({'party=republican', 'subject=health-care'})",frozenset({'label=false'}),0.05089516065983895,0.1959971855210695,0.014228754593073255,0.2795698924731183,1.4263974848917655,1.0,0.004253446347102162,1.1160039066647842,0.31496324927132174,0.061155913978494625,0.10394578905325322,0.17608331081573747
"frozenset({'state=Florida', 'label=barely-true'})",frozenset({'party=republican'}),0.018372293018528652,0.442889531701978,0.01157063560315847,0.6297872340425532,1.4219962066440066,1.0,0.003433739351890796,1.5048386212647722,0.3023175094495578,0.025730180806675936,0.3354769170135136,0.3279562825111266
"frozenset({'party=democrat', 'state=Illinois'})",frozenset({'label=mostly-true'}),0.052224220154796344,0.19185364709561412,0.014150574622781643,0.27095808383233533,1.4123165649141813,1.0,0.004131167519359687,1.108504648337022,0.30803007661342313,0.06154369262155728,0.09788380093831876,0.17235760752333962
frozenset({'state=Virginia'}),frozenset({'party=democrat'}),0.04010632475959659,0.3235087170666875,0.01821593307794543,0.4541910331384016,1.4039529977944165,1.0,0.005241187408708414,1.2394286719456762,0.2997472012818909,0.052738795835219565,0.19317664450170982,0.25524921400757683
frozenset({'state=Illinois'}),frozenset({'label=mostly-true'}),0.054335079352669846,0.19185364709561412,0.014463294503948088,0.26618705035971224,1.3874484764266826,1.0,0.004038911364908778,1.101297480918722,0.29529752967252954,0.06241565452091767,0.09198012587318169,0.17078708671204845
"frozenset({'label=false', 'state=Florida'})",frozenset({'party=republican'}),0.01696505355327965,0.442889531701978,0.010397936048784301,0.6129032258064516,1.383873814879139,1.0,0.0028842914252733,1.4392020431032235,0.28217792772052597,0.023134458166637676,0.3051705250196916,0.3181903595934288
frozenset({'subject=immigration'}),frozenset({'party=republican'}),0.05019154092721445,0.442889531701978,0.030724728324603236,0.6121495327102803,1.382172051702947,1.0,0.008495420267948566,1.4364053038045383,0.2911124529458962,0.06645248562732499,0.30381766389239334,0.34076143890589033
"frozenset({'subject=economy', 'subject=jobs'})",frozenset({'label=half-true'}),0.03627550621530764,0.20537878195606285,0.010163396137909468,0.2801724137931035,1.3641740939579698,1.0,0.0027131768565699984,1.1039049256658289,0.27700419966178064,0.043904086457277954,0.09412488634667322,0.16482925980861873
frozenset({'subject=deficit'}),frozenset({'party=republican'}),0.020874052067860215,0.442889531701978,0.012508795246657807,0.599250936329588,1.353048318904106,1.0,0.0032638961016004907,1.3901728507997373,0.2664908375918236,0.027720027720027723,0.2806649911018468,0.31374726869436154
frozenset({'subject=stimulus'}),frozenset({'party=republican'}),0.01751231334532093,0.442889531701978,0.010476116019075913,0.5982142857142857,1.3507076661202875,1.0,0.0027200957625484277,1.3865860544306325,0.2642754240257295,0.023284100781928756,0.27880422797802806,0.3109341508006557
"frozenset({'party=republican', 'state=Unknown'})",frozenset({'label=barely-true'}),0.04901884137284028,0.16441247752325855,0.010867015870533969,0.22169059011164272,1.3483805697185078,1.0,0.00280770671510569,1.073592984821551,0.27168741823377857,0.053647240447703574,0.06854831007840773,0.14389332168444713
frozenset({'state=New York'}),frozenset({'party=democrat'}),0.06496755531232898,0.3235087170666875,0.028066609334688453,0.43200962695547535,1.3353879019786095,1.0,0.007049038864637848,1.191025966350811,0.26860449408893167,0.07787418655097614,0.16038774279296028,0.25938325717034283
"frozenset({'label=half-true', 'state=Florida'})",frozenset({'party=republican'}),0.021108591978735047,0.442889531701978,0.012352435306074584,0.5851851851851853,1.3212892680853847,1.0,0.0030036608897244903,1.3430341646470176,0.24840698007094916,0.027349835554786223,0.2554173033544351,0.30653787061554055
frozenset({'subject=workers'}),frozenset({'party=democrat'}),0.027441169572355564,0.3235087170666875,0.011726995543741693,0.42735042735042733,1.3209858183275294,1.0,0.002849537980579523,1.1813355239283219,0.24984565916398713,0.034570177460244295,0.15350044103077734,0.23179991159691496
"frozenset({'subject=economy', 'label=barely-true'})",frozenset({'party=republican'}),0.017121413493862873,0.442889531701978,0.010007036197326244,0.5844748858447488,1.3196854836434566,1.0,0.0024241413929533898,1.3407383797501848,0.24646349526726047,0.022237665045170253,0.25414233298346645,0.3035348833460284
frozenset({'state=Oregon'}),frozenset({'party=democrat'}),0.0242357907903995,0.3235087170666875,0.010319756078492691,0.42580645161290326,1.3162132244032494,1.0,0.002479266492793909,1.1781589758950948,0.24621181772051107,0.030583873957367936,0.15121811193581947,0.2288529599775488
frozenset({'subject=terrorism'}),frozenset({'party=republican'}),0.028301149245563286,0.442889531701978,0.016495973731529983,0.5828729281767956,1.3160684244147205,1.0,0.003961690995534672,1.335589334595258,0.24715588333201782,0.03627922971114168,0.2512668571862745,0.31005958853676496
frozenset({'state=Ohio'}),frozenset({'party=republican'}),0.04604800250175905,0.442889531701978,0.026815729810022674,0.5823429541595926,1.314871796408711,1.0,0.006421551546207098,1.3338945765346952,0.25102896193951857,0.05802740653019794,0.25031556646861475,0.3214450869650567
frozenset({'state=Florida'}),frozenset({'party=republican'}),0.09670862325072316,0.442889531701978,0.05628957860996013,0.5820533548908651,1.314217910398774,1.0,0.013458341746904329,1.332970308094107,0.26468887638720595,0.11646716273050793,0.24979574269001611,0.3545747798284864
frozenset({'subject=job-accomplishments'}),frozenset({'party=democrat'}),0.02845750918614651,0.3235087170666875,0.01203971542490814,0.4230769230769231,1.307775960144254,1.0,0.0028334631371844075,1.1725848904177418,0.24223647922046576,0.03541858325666973,0.14718328014294735,0.23014648473807486
frozenset({'subject=federal-budget'}),frozenset({'party=republican'}),0.07325463216323978,0.442889531701978,0.04229536392776171,0.5773745997865528,1.303653752139417,1.0,0.009851654193983789,1.3182134060486026,0.2513367349580088,0.08925919815212012,0.2413974888955651,0.33643663793387657
"frozenset({'label=false', 'subject=taxes'})",frozenset({'party=republican'}),0.017981393167070595,0.442889531701978,0.010319756078492691,0.573913043478261,1.295837906289574,1.0,0.0023559852793796476,1.3075041602912765,0.23247883661067323,0.022904737116085372,0.23518407790211004,0.29860700717602373
frozenset({'subject=jobs'}),frozenset({'label=half-true'}),0.07028379329215854,0.20537878195606285,0.01860683292940349,0.2647385984427142,1.2890260421319975,1.0,0.004172033071808266,1.0807329425438723,0.24117088813325546,0.07238442822384429,0.07470202800873252,0.17766811916806438
"frozenset({'subject=health-care', 'label=barely-true'})",frozenset({'party=republican'}),0.02243765147369244,0.442889531701978,0.012586975216949417,0.5609756097560976,1.26662648268142,1.0,0.0026495742632735766,1.2689738444566059,0.21533283262399508,0.027801761353824898,0.21196169301013815,0.2946978666609261
frozenset({'state=Georgia'}),frozenset({'party=republican'}),0.04323352357126104,0.442889531701978,0.0242357907903995,0.5605786618444847,1.265730214237035,1.0,0.00508811578209727,1.2678275266206016,0.21942890731671308,0.05247122545700744,0.21124918097850173,0.3076503194482794
frozenset({'state=Wisconsin'}),frozenset({'party=republican'}),0.07051833320303338,0.442889531701978,0.0394808849972637,0.5598669623059868,1.2641232682887689,1.0,0.008249053428568201,1.2657774367879495,0.22478970077174248,0.08330583965687892,0.2099716972854163,0.3245054140744409
frozenset({'state=Illinois'}),frozenset({'label=half-true'}),0.054335079352669846,0.20537878195606285,0.014072394652490033,0.2589928057553957,1.26104947789009,1.0,0.0029131222375526795,1.072352905903954,0.2189038616990006,0.05728835136855506,0.0674711706431785,0.1637560146020983
"frozenset({'party=democrat', 'state=Illinois'})",frozenset({'label=half-true'}),0.052224220154796344,0.20537878195606285,0.013525134860448753,0.25898203592814373,1.2609970390395457,1.0,0.0027993881364514125,1.0723373205118183,0.21838153149867046,0.05541319666880206,0.06745761723306636,0.16241831145474564
