speaker,total_claims,anomaly_rate,low_truth_rate
kathleen-falk,10,0.1,0.4
pam-bondi,10,0.1,0.4
scott-brown,10,0.1,0.6
bob-goodlatte,11,0.09090909090909091,0.09090909090909091
dave-brat,11,0.09090909090909091,0.6363636363636364
joseph-kyrillos,11,0.09090909090909091,0.6363636363636364
kelly-ayotte,11,0.09090909090909091,0.2727272727272727
mark-warner,23,0.08695652173913043,0.21739130434782608
joe-scarborough,12,0.08333333333333333,0.4166666666666667
todd-staples,12,0.08333333333333333,0.16666666666666666
tom-graves,12,0.08333333333333333,0.16666666666666666
chris-larson,13,0.07692307692307693,0.9230769230769231
jim-moran,14,0.07142857142857142,0.2857142857142857
patrick-murphy,15,0.06666666666666667,0.2
johnny-isakson,16,0.0625,0.3125
dick-cheney,17,0.058823529411764705,0.5882352941176471
gary-johnson,17,0.058823529411764705,0.29411764705882354
cory-booker,20,0.05,0.2
gwen-moore,20,0.05,0.4
blog-posting,81,0.04938271604938271,0.8641975308641975
bill-oreilly,21,0.047619047619047616,0.5238095238095238
ken-cuccinelli,21,0.047619047619047616,0.6190476190476191
rob-portman,47,0.0425531914893617,0.19148936170212766
dan-patrick,25,0.04,0.52
florida-democratic-party,25,0.04,0.48
nathan-deal,52,0.038461538461538464,0.28846153846153844
bill-nelson,27,0.037037037037037035,0.18518518518518517
herman-cain,27,0.037037037037037035,0.6666666666666666
viral-image,28,0.03571428571428571,0.8928571428571429
glenn-beck,31,0.03225806451612903,0.5806451612903226
mary-burke,34,0.029411764705882353,0.38235294117647056
rush-limbaugh,37,0.02702702702702703,0.8108108108108109
jeb-bush,79,0.02531645569620253,0.3037974683544304
rudy-giuliani,47,0.02127659574468085,0.48936170212765956
facebook-posts,100,0.02,0.68
rick-perry,173,0.017341040462427744,0.4624277456647399
ted-cruz,118,0.01694915254237288,0.652542372881356
joe-biden,76,0.013157894736842105,0.34210526315789475
chris-christie,104,0.009615384615384616,0.34615384615384615
donald-trump,343,0.008746355685131196,0.7026239067055393
hillary-clinton,297,0.006734006734006734,0.265993265993266
marco-rubio,153,0.006535947712418301,0.41830065359477125
john-mccain,189,0.005291005291005291,0.42857142857142855
barack-obama,611,0.0016366612111292963,0.2618657937806874
mitt-romney,212,0.0,0.419811320754717
scott-walker,183,0.0,0.453551912568306
chain-email,178,0.0,0.8932584269662921
rick-scott,150,0.0,0.42
bernie-s,106,0.0,0.2830188679245283
charlie-crist,90,0.0,0.35555555555555557
newt-gingrich,83,0.0,0.5421686746987951
paul-ryan,70,0.0,0.4
john-boehner,68,0.0,0.5441176470588235
john-kasich,67,0.0,0.29850746268656714
sarah-palin,66,0.0,0.5606060606060606
michele-bachmann,61,0.0,0.7540983606557377
rick-santorum,59,0.0,0.559322033898305
tim-kaine,54,0.0,0.2222222222222222
national-republican-congressional-committee,52,0.0,0.6730769230769231
rand-paul,52,0.0,0.34615384615384615
debbie-wasserman-schultz,47,0.0,0.40425531914893614
ron-johnson,46,0.0,0.4782608695652174
greg-abbott,43,0.0,0.4418604651162791
bill-clinton,41,0.0,0.21951219512195122
david-dewhurst,41,0.0,0.5365853658536586
mike-huckabee,41,0.0,0.5121951219512195
ron-paul,40,0.0,0.4
bob-mcdonnell,39,0.0,0.4358974358974359
mike-pence,39,0.0,0.46153846153846156
eric-cantor,36,0.0,0.5833333333333334
democratic-national-committee,35,0.0,0.2857142857142857
alan-grayson,34,0.0,0.35294117647058826
democratic-congressional-campaign-committee,34,0.0,0.8235294117647058
republican-national-committee-republican,34,0.0,0.4117647058823529
republican-party-florida,34,0.0,0.5882352941176471
sherrod-brown,34,0.0,0.23529411764705882
terry-mcauliffe,33,0.0,0.696969696969697
george-will,31,0.0,0.45161290322580644
mitch-mcconnell,30,0.0,0.5
national-republican-senatorial-committee,30,0.0,0.7
david-cicilline,29,0.0,0.41379310344827586
josh-mandel,29,0.0,0.5172413793103449
nancy-pelosi,29,0.0,0.4482758620689655
tommy-thompson,29,0.0,0.5862068965517241
ben-carson,28,0.0,0.8214285714285714
harry-reid,28,0.0,0.5714285714285714
john-cornyn,28,0.0,0.32142857142857145
george-allen,27,0.0,0.4444444444444444
rachel-maddow,27,0.0,0.48148148148148145
reince-priebus,27,0.0,0.5555555555555556
tammy-baldwin,27,0.0,0.4074074074074074
wendy-davis,27,0.0,0.25925925925925924
allen-west,26,0.0,0.7307692307692307
bill-white,26,0.0,0.3076923076923077
tom-barrett,26,0.0,0.38461538461538464
dennis-kucinich,25,0.0,0.16
sheldon-whitehouse,24,0.0,0.20833333333333334
state-democratic-party-wisconsin,24,0.0,0.7916666666666666
russ-feingold,22,0.0,0.36363636363636365
carly-fiorina,21,0.0,0.5714285714285714
ted-strickland,21,0.0,0.42857142857142855
kendrick-meek,19,0.0,0.47368421052631576
paul-broun,19,0.0,0.6842105263157895
sean-hannity,19,0.0,0.47368421052631576
alex-sink,18,0.0,0.16666666666666666
americans-prosperity,18,0.0,0.8333333333333334
club-growth,18,0.0,0.5
crossroads-gps,18,0.0,0.6111111111111112
david-axelrod,18,0.0,0.16666666666666666
jon-huntsman,18,0.0,0.3888888888888889
kay-bailey-hutchison,18,0.0,0.3888888888888889
lincoln-chafee,18,0.0,0.4444444444444444
martin-omalley,18,0.0,0.2222222222222222
national-rifle-association,18,0.0,0.6111111111111112
republican-governors-association,18,0.0,0.4444444444444444
tim-pawlenty,18,0.0,0.3888888888888889
bill-richardson,17,0.0,0.23529411764705882
george-lemieux,17,0.0,0.29411764705882354
gina-raimondo,17,0.0,0.23529411764705882
karl-rove,17,0.0,0.4117647058823529
paul-krugman,17,0.0,0.11764705882352941
sean-duffy,17,0.0,0.5294117647058824
barbara-buono,16,0.0,0.3125
david-perdue,16,0.0,0.4375
fred-thompson,16,0.0,0.3125
jim-renacci,16,0.0,0.625
lamar-smith,16,0.0,0.5
michael-moore,16,0.0,0.4375
us-chamber-commerce,16,0.0,0.625
american-crossroads,15,0.0,0.6666666666666666
connie-mack,15,0.0,0.5333333333333333
john-edwards,15,0.0,0.2
lloyd-doggett,15,0.0,0.06666666666666667
jeff-merkley,14,0.0,0.07142857142857142
john-kitzhaber,14,0.0,0.14285714285714285
marcy-kaptur,14,0.0,0.14285714285714285
moveon,14,0.0,0.42857142857142855
tom-price,14,0.0,0.21428571428571427
ann-coulter,13,0.0,0.6923076923076923
donna-brazile,13,0.0,0.07692307692307693
john-kerry,13,0.0,0.38461538461538464
ohio-democratic-party,13,0.0,0.5384615384615384
randy-forbes,13,0.0,0.07692307692307693
robin-vos,13,0.0,0.3076923076923077
tom-cotton,13,0.0,0.6153846153846154
adam-hasner,12,0.0,0.25
bobby-scott,12,0.0,0.25
ed-gillespie,12,0.0,0.4166666666666667
hank-johnson,12,0.0,0.25
jack-kingston,12,0.0,0.3333333333333333
julian-castro,12,0.0,0.0
leticia-van-de-putte,12,0.0,0.4166666666666667
lindsey-graham,12,0.0,0.3333333333333333
mark-pocan,12,0.0,0.25
occupy-democrats,12,0.0,0.6666666666666666
pat-mccrory,12,0.0,0.6666666666666666
phil-gingrey,12,0.0,0.6666666666666666
republican-party-wisconsin,12,0.0,0.5833333333333334
robert-menendez,12,0.0,0.3333333333333333
saxby-chambliss,12,0.0,0.25
senate-majority-pac,12,0.0,0.5833333333333334
barry-hinckley,11,0.0,0.5454545454545454
bill-mccollum,11,0.0,0.5454545454545454
bill-pascrell,11,0.0,0.2727272727272727
david-clarke-jr,11,0.0,0.7272727272727273
ed-schultz,11,0.0,0.5454545454545454
glenn-grothman,11,0.0,0.6363636363636364
greater-wisconsin-political-fund,11,0.0,0.6363636363636364
jeanne-shaheen,11,0.0,0.2727272727272727
jim-demint,11,0.0,0.8181818181818182
karen-handel,11,0.0,0.2727272727272727
maggie-hassan,11,0.0,0.2727272727272727
mark-neumann,11,0.0,0.6363636363636364
michael-bloomberg,11,0.0,0.18181818181818182
rebecca-kleefisch,11,0.0,0.45454545454545453
americans-united-change,10,0.0,0.5
barbara-boxer,10,0.0,0.3
bill-maher,10,0.0,0.3
bobby-jindal,10,0.0,0.3
charles-schumer,10,0.0,0.4
jim-webb,10,0.0,0.1
jon-kyl,10,0.0,0.2
louie-gohmert,10,0.0,0.9
michael-mccaul,10,0.0,0.1
michelle-obama,10,0.0,0.2
new-hampshire-democratic-party,10,0.0,0.4
republican-party-texas,10,0.0,0.5
roger-williams,10,0.0,0.6
roy-barnes,10,0.0,0.2
tom-coburn,10,0.0,0.5
afscme,9,0.0,0.4444444444444444
alberta-darling,9,0.0,0.4444444444444444
alison-lundergan-grimes,9,0.0,0.4444444444444444
allan-fung,9,0.0,0.5555555555555556
chris-dodd,9,0.0,0.1111111111111111
howard-dean,9,0.0,0.5555555555555556
jeff-greene,9,0.0,0.6666666666666666
jerry-patterson,9,0.0,0.2222222222222222
jim-jordan,9,0.0,0.1111111111111111
jim-sensenbrenner,9,0.0,0.6666666666666666
jimmy-carter,9,0.0,0.3333333333333333
kenneth-block,9,0.0,0.3333333333333333
laura-ingraham,9,0.0,0.8888888888888888
marcia-fudge,9,0.0,0.1111111111111111
one-wisconsin-now,9,0.0,0.3333333333333333
stephen-sweeney,9,0.0,0.3333333333333333
ann-mclane-kuster,8,0.0,0.375
armond-budish,8,0.0,0.125
betty-sutton,8,0.0,0.375
brendan-doherty,8,0.0,0.375
chris-redfern,8,0.0,0.0
dan-gelber,8,0.0,0.5
david-jolly,8,0.0,0.5
democratic-senatorial-campaign-committee,8,0.0,0.375
dennis-richardson,8,0.0,0.5
don-beyer,8,0.0,0.375
eric-hovde,8,0.0,0.625
gail-collins,8,0.0,0.375
gilberto-hinojosa,8,0.0,0.625
house-republicans,8,0.0,0.5
jason-carter,8,0.0,0.25
jefferson-smith,8,0.0,0.25
john-carter,8,0.0,0.625
john-wisniewski,8,0.0,0.5
lawrence-odonnell,8,0.0,0.5
lou-greenwald,8,0.0,0.375
michael-doherty,8,0.0,0.5
michael-steele,8,0.0,0.375
michelle-nunn,8,0.0,0.375
ohio-republican-party,8,0.0,0.5
pete-gallego,8,0.0,0.25
peter-barca,8,0.0,0.375
restore-our-future,8,0.0,0.375
steny-hoyer,8,0.0,0.125
tom-tancredo,8,0.0,0.75
ward-armstrong,8,0.0,0.625
wayne-lapierre,8,0.0,0.5
winning-our-future,8,0.0,0.5
american-bridge-21st-century,7,0.0,0.42857142857142855
americans-tax-reform,7,0.0,0.7142857142857143
angel-taveras,7,0.0,0.42857142857142855
chris-matthews,7,0.0,0.42857142857142855
democratic-party-virginia,7,0.0,0.42857142857142855
edward-flynn,7,0.0,0.14285714285714285
farouk-shami,7,0.0,0.5714285714285714
gerry-connolly,7,0.0,0.14285714285714285
jack-reed,7,0.0,0.14285714285714285
jamie-radtke,7,0.0,0.2857142857142857
jeff-fitzgerald,7,0.0,0.5714285714285714
jeff-sessions,7,0.0,0.5714285714285714
jennifer-granholm,7,0.0,0.14285714285714285
jerry-brown,7,0.0,0.0
jon-stewart,7,0.0,0.42857142857142855
kathleen-sebelius,7,0.0,0.2857142857142857
keith-olbermann,7,0.0,0.2857142857142857
lamar-alexander,7,0.0,0.42857142857142855
loretta-weinberg,7,0.0,0.42857142857142855
mike-haridopolos,7,0.0,0.5714285714285714
mike-rogers,7,0.0,0.42857142857142855
morgan-griffith,7,0.0,0.7142857142857143
paul-sadler,7,0.0,0.2857142857142857
robert-gibbs,7,0.0,0.2857142857142857
robert-hurt,7,0.0,0.8571428571428571
ron-wyden,7,0.0,0.14285714285714285
rush-holt,7,0.0,0.14285714285714285
sharron-angle,7,0.0,0.7142857142857143
steve-adler,7,0.0,0.42857142857142855
suzanne-bonamici,7,0.0,0.5714285714285714
vincent-buddy-cianci,7,0.0,0.42857142857142855
wisconsin-manufacturers-and-commerce,7,0.0,0.42857142857142855
arne-duncan,6,0.0,0.5
bob-buckhorn,6,0.0,0.5
charlie-hales,6,0.0,0.3333333333333333
chris-koster,6,0.0,0.0
chuck-todd,6,0.0,0.0
cokie-roberts,6,0.0,0.16666666666666666
dale-kooyenga,6,0.0,0.3333333333333333
don-gaetz,6,0.0,0.16666666666666666
doonesbury,6,0.0,0.0
earl-blumenauer,6,0.0,0.16666666666666666
elizabeth-warren,6,0.0,0.0
emilys-list,6,0.0,0.16666666666666666
ending-spending-action-fund,6,0.0,0.6666666666666666
grover-norquist,6,0.0,0.6666666666666666
james-langevin,6,0.0,0.3333333333333333
jan-brewer,6,0.0,0.8333333333333334
jim-kenney,6,0.0,0.3333333333333333
joanne-kloppenburg,6,0.0,0.6666666666666666
joaquin-castro,6,0.0,0.16666666666666666
jon-husted,6,0.0,0.5
kurt-schrader,6,0.0,0.16666666666666666
lee-fisher,6,0.0,0.5
lenny-curry,6,0.0,0.5
leonard-lance,6,0.0,0.0
marsha-blackburn,6,0.0,0.6666666666666666
mike-martinez,6,0.0,0.3333333333333333
mike-tate,6,0.0,0.5
mike-villarreal,6,0.0,0.16666666666666666
national-right-life-committee,6,0.0,0.5
peter-defazio,6,0.0,0.3333333333333333
peter-palumbo,6,0.0,0.6666666666666666
planned-parenthood,6,0.0,0.3333333333333333
progress-texas,6,0.0,0.8333333333333334
roy-blunt,6,0.0,0.6666666666666666
sacramento-bee-editorial-board,6,0.0,0.16666666666666666
scott-rigell,6,0.0,0.6666666666666666
steve-rothman,6,0.0,0.6666666666666666
steve-southerland,6,0.0,0.5
tennessee-democratic-party,6,0.0,0.3333333333333333
van-jones,6,0.0,0.16666666666666666
al-sharpton,5,0.0,0.6
american-future-fund,5,0.0,1.0
andrew-cuomo,5,0.0,0.2
anthony-gemma,5,0.0,0.6
anthony-weiner,5,0.0,0.6
arianna-huffington,5,0.0,0.0
bob-corker,5,0.0,0.2
bob-gibbs,5,0.0,0.4
boyd-richie,5,0.0,0.8
brett-hulsey,5,0.0,0.8
brian-kemp,5,0.0,0.4
casey-cagle,5,0.0,0.2
charles-bass,5,0.0,1.0
cory-gardner,5,0.0,1.0
dan-sullivan,5,0.0,0.8
david-brooks,5,0.0,0.0
duncan-hunter,5,0.0,0.2
elizabeth-roberts,5,0.0,0.2
eric-greitens,5,0.0,0.4
hank-gilbert,5,0.0,0.4
jason-isaac,5,0.0,0.6
jd-alexander,5,0.0,0.4
jd-hayworth,5,0.0,0.6
jeb-hensarling,5,0.0,0.6
jeff-stone,5,0.0,0.2
jennifer-shilling,5,0.0,0.4
jim-sullivan,5,0.0,0.6
joe-barton,5,0.0,0.8
joe-lieberman,5,0.0,0.4
john-loughlin,5,0.0,0.8
john-robitaille,5,0.0,0.2
john-thrasher,5,0.0,0.8
joni-ernst,5,0.0,0.6
jorge-elorza,5,0.0,0.4
katrina-vanden-heuvel,5,0.0,0.4
lee-holloway,5,0.0,0.8
lena-taylor,5,0.0,0.6
lou-dobbs,5,0.0,0.6
luis-gutierrez,5,0.0,0.0
mark-kirk,5,0.0,0.6
mark-obenshain,5,0.0,0.2
megyn-kelly,5,0.0,0.2
mike-stenhouse,5,0.0,0.6
nan-rich,5,0.0,0.2
naral-pro-choice,5,0.0,0.8
new-jersey-democratic-state-committee,5,0.0,0.8
patriot-majority-usa,5,0.0,0.6
peter-kilmartin,5,0.0,0.2
peter-king,5,0.0,0.4
roy-cooper,5,0.0,0.2
stephanie-cutter,5,0.0,0.4
stephen-colbert,5,0.0,0.2
stephen-hayes,5,0.0,0.4
steve-latourette,5,0.0,0.0
steve-stockman,5,0.0,1.0
vern-buchanan,5,0.0,0.4
